"trainer/global_step","crisp-sweep-10 - _step","crisp-sweep-10 - _step__MIN","crisp-sweep-10 - _step__MAX","crisp-sweep-10 - train_loss_step","crisp-sweep-10 - train_loss_step__MIN","crisp-sweep-10 - train_loss_step__MAX"
"5899","208.5","130","287","0.5683095455169678","0.5661255121231079","0.5704935789108276"
"5949","209.5","131","288","0.635084480047226","0.5693222880363464","0.7008466720581055"
"5999","210.5","132","289","0.5989238619804382","0.5043185949325562","0.6935291290283203"
"6049","211.5","133","290","0.4945722222328186","0.453022837638855","0.5361216068267822"
"6099","212.5","134","291","0.49767647683620453","0.40114590525627136","0.5942070484161377"
"6149","213.5","135","292","0.9525657296180725","0.8132113218307495","1.0919201374053955"
"6199","214.5","136","293","0.7804519534111023","0.6241773962974548","0.9367265105247498"
"6249","215.5","137","294","0.6864118278026581","0.6318222880363464","0.7410013675689697"
"6299","216.5","138","295","0.5958291888237","0.49366647005081177","0.6979919075965881"
"6349","217.5","139","296","0.694958359003067","0.667275071144104","0.72264164686203"
"6399","218.5","140","297","0.6503831744194031","0.6308670043945312","0.6698993444442749"
"6449","219.5","141","298","0.45725783705711365","0.4213865399360657","0.4931291341781616"
"6499","220.5","142","299","0.5626592636108398","0.5302443504333496","0.5950741767883301"
"6549","221.5","143","300","0.42542271316051483","0.3201875388622284","0.5306578874588013"
"6599","222.5","144","301","0.49693790078163147","0.3852275609970093","0.6086482405662537"
"6649","223.5","145","302","0.45360779762268066","0.38427162170410156","0.5229439735412598"
"6699","224.5","146","303","0.5826174318790436","0.5001911520957947","0.6650437116622925"
"6749","225.5","147","304","0.6365895420312881","0.3174012005329132","0.9557778835296631"
"6799","226.5","148","305","0.6768454611301422","0.5503768920898438","0.8033140301704407"
"6849","227.5","149","306","0.7748178541660309","0.5928949117660522","0.9567407965660095"
"6899","228.5","150","307","0.6133871674537659","0.5426785945892334","0.6840957403182983"
"6949","229.5","151","308","0.6853043138980865","0.6238276958465576","0.7467809319496155"
"6999","230.5","152","309","0.6001000106334686","0.3966761827468872","0.80352383852005"
